lon,lat,weapontype,attacktype,targettype
-84.48,42.74,1137,683,1089
-76.48,42.46,1482,1146,1089
-95.4,29.72,1482,1146,2104
120.54,15.19,3514,3514,2104
-73.86,40.84,1137,683,725
-6.27,53.34,1198,398,725
-73.97,40.78,1137,683,725
-73.86,40.84,1137,683,2644
-117.16,46.73,1482,1146,1089
-51.22,-30.03,3514,1451,1326
-58.38,-34.6,1198,398,2104
-117.37,35.77,1137,683,3525
-117.37,35.77,1482,1146,725
-73.97,40.78,1137,683,2352
-95.4,29.72,1482,1146,1089
-95.24,38.97,1137,683,725
-94.74,37.02,1137,683,2644
-118.2,34.05,1482,1146,1089
-90.15,38.62,1137,683,725
-117.16,32.72,1137,683,2104
-76.48,42.46,1482,1146,1089
-95.34,28.95,1482,1146,725
-122.27,37.87,1137,683,3525
-94.52,39.09,1137,683,1089
-94.58,39.1,1137,683,2763
-94.58,39.1,1137,683,2585
-117.37,35.77,1137,683,725
-118.11,33.78,1137,683,1089
-118.25,34.05,1137,683,725
35.93,31.95,1137,683,1326
-118.25,34.05,1482,1146,2644
-118.2,34.06,1482,1146,1089
-118.2,34.05,1482,1146,1089
-94.58,39.1,1137,683,725
-94.58,39.1,1137,683,2644
-94.58,39.1,1137,683,2644
-117.37,35.77,1137,683,725
-122.27,37.81,1198,398,2585
-122.33,47.6,1137,683,2763
-122.33,47.6,1137,683,725
-122.33,47.6,1137,683,725
-122.33,47.6,1137,683,1327
-73.79,40.73,1137,683,2585
-95.26,38.95,1482,1146,1089
-118.25,34.05,1482,1146,725
-117.37,35.77,1137,683,725
-122.26,37.87,1482,1146,1089
-122.26,37.87,1482,1146,1089
-87.91,43.04,1482,1146,1327
-88.23,40.1,1482,1146,2585
-117.16,34.06,1482,1146,1089
-67.19,18.38,1137,683,2104
-67.19,18.38,1137,683,3269
-67.19,18.38,1137,683,3269
-67.19,18.38,1137,683,2585
-122.16,37.44,1482,1146,1089
-76.61,39.29,1198,398,2585
-73.97,40.78,1137,683,2104
-73.97,40.76,1198,486,1326
28.96,41.01,1137,683,98
-75.19,39.95,1482,1146,1089
-84.48,42.74,1137,683,725
-84.48,42.74,1137,683,725
-84.48,42.74,1137,683,725
-91.19,30.44,1137,683,1327
-91.19,30.44,1137,683,1206
-93.34,45.03,1137,683,1327
-91.53,41.66,1137,683,725
-72.93,41.31,1482,1146,1089
-87.68,42.06,1482,1146,1089
-117.93,33.88,1137,683,1089
-93.62,42.03,1482,1146,2644
-90.5,38.79,1137,683,2644
13.33,52.51,1482,1146,725
13.4,52.52,1482,1146,1327
-73.97,40.78,1137,683,2585
-91.19,30.44,1137,683,725
-71.05,42.29,1482,1146,2763
-66.05,18.4,1137,683,725
-73.97,40.78,1482,1146,2104
-86.86,39.64,1137,683,2104
-72.92,41.32,1137,683,1089
-73.86,40.84,1137,683,725
-73.9,40.86,1137,683,725
-88.24,40.11,1482,1146,725
-88.24,40.11,1482,1146,725
-57.64,-25.28,1198,486,1326
-79.18,39.65,1482,1146,1327
-79.05,35.9,1137,683,2104
-97.45,35.22,1482,1146,1327
-94.87,40.35,1482,1146,2104
13.4,52.52,1482,1146,1326
-117.01,46.4,1482,1146,2104
-80.28,25.72,1137,683,1089
-81.38,28.54,1482,1146,1327
-73.94,40.68,1137,683,725
-122.27,37.81,1482,1146,1327
-122.93,46.14,1137,683,2104
-75.93,40.34,1482,1146,2104
-122.68,45.51,1482,1146,1327
-118.28,33.74,1482,1146,2104
-122.68,45.51,1482,1146,1327
-71.07,42.3,1482,1146,2763
-73.97,40.78,1137,683,725
-72.1,41.36,1482,1146,2104
-73.6,40.82,1482,1146,1089
-118.33,34.09,1137,683,1327
-121.47,38.55,1198,398,2585
13.4,52.52,1482,1146,725
-77.03,38.89,1137,683,2352
6.14,46.2,1137,683,98
