category,nattacks,nkilled,nkilledter,nwounded,nwoundedter,subcategory,subtype,type
3668,1.0,0.0,0.0,0.0,0.0,457,1713,3672
3668,2.0,2.0,0.0,1.0,0.0,457,2104,3672
3668,1.0,1.0,0.0,0.0,0.0,457,2585,3672
3668,6.0,16.0,0.0,69.0,0.0,457,2644,3672
3668,1.0,0.0,0.0,0.0,0.0,457,3351,3672
3668,2.0,1.0,0.0,1.0,0.0,501,98,3672
3668,19.0,8.0,1.0,44.0,0.0,501,725,3672
3668,17.0,2.0,1.0,8.0,0.0,501,1326,3672
3668,10.0,1.0,0.0,7.0,0.0,501,1327,3672
3668,1.0,0.0,0.0,0.0,0.0,501,2032,3672
3668,2.0,2.0,0.0,0.0,0.0,501,2104,3672
3668,10.0,4.0,2.0,23.0,0.0,501,2585,3672
3668,11.0,1.0,0.0,7.0,0.0,501,2644,3672
3668,9.0,0.0,0.0,1.0,0.0,501,2763,3672
3668,1.0,0.0,0.0,0.0,0.0,501,3350,3672
3668,4.0,0.0,0.0,0.0,0.0,501,3351,3672
3668,1.0,0.0,0.0,0.0,0.0,501,3553,3672
3668,11.0,8.0,1.0,43.0,2.0,502,98,3672
3668,20.0,0.0,0.0,15.0,0.0,502,725,3672
3668,1.0,0.0,0.0,3.0,0.0,502,1089,3672
3668,23.0,6.0,0.0,24.0,0.0,502,1326,3672
3668,7.0,3.0,0.0,3.0,0.0,502,1327,3672
3668,1.0,0.0,0.0,0.0,0.0,502,1713,3672
3668,1.0,0.0,0.0,0.0,0.0,502,2447,3672
3668,2.0,0.0,0.0,0.0,0.0,502,2585,3672
3668,24.0,7.0,0.0,7.0,0.0,502,2644,3672
3668,4.0,2.0,0.0,28.0,0.0,502,2763,3672
3668,2.0,0.0,0.0,1.0,0.0,502,3350,3672
3668,7.0,0.0,0.0,1.0,0.0,502,3351,3672
3668,1.0,2.0,0.0,0.0,0.0,502,3525,3672
3668,1.0,0.0,0.0,10.0,0.0,529,98,3672
3668,14.0,7.0,0.0,8.0,0.0,529,1327,3672
3668,1.0,12.0,0.0,20.0,0.0,529,2032,3672
3668,4.0,4.0,0.0,6.0,0.0,529,2104,3672
3668,3.0,1.0,1.0,7.0,0.0,529,2585,3672
3668,9.0,132.0,0.0,1.0,0.0,529,2644,3672
3668,4.0,3.0,0.0,11.0,0.0,529,2763,3672
3668,5.0,27.0,0.0,97.0,0.0,529,3351,3672
3668,1.0,2.0,0.0,3.0,0.0,529,3525,3672
3668,2.0,1.0,0.0,0.0,0.0,538,1327,3672
3668,1.0,0.0,0.0,0.0,0.0,538,1713,3672
3668,1.0,0.0,0.0,0.0,0.0,538,2032,3672
3668,1.0,0.0,0.0,0.0,0.0,538,3350,3672
3668,1.0,0.0,0.0,0.0,0.0,539,98,3672
3668,30.0,13.0,0.0,16.0,0.0,539,725,3672
3668,8.0,0.0,0.0,1.0,0.0,539,1089,3672
3668,5.0,0.0,0.0,1.0,0.0,539,1326,3672
3668,4.0,0.0,0.0,1.0,0.0,539,1327,3672
3668,2.0,0.0,0.0,0.0,0.0,539,2104,3672
3668,63.0,17.0,1.0,117.0,0.0,539,2585,3672
3668,38.0,6.0,2.0,18.0,1.0,539,2644,3672
3668,6.0,0.0,0.0,0.0,0.0,539,2763,3672
3668,2.0,0.0,0.0,2.0,0.0,539,3351,3672
3668,3.0,0.0,0.0,0.0,0.0,558,98,3672
3668,83.0,71.0,2.0,607.0,0.0,558,725,3672
3668,108.0,16.0,1.0,329.0,4.0,558,1089,3672
3668,9.0,2.0,0.0,35.0,0.0,558,1326,3672
3668,293.0,160.0,11.0,1125.0,6.0,558,1327,3672
3668,23.0,6.0,0.0,24.0,0.0,558,1713,3672
3668,8.0,44.0,0.0,71.0,0.0,558,2032,3672
3668,14.0,47.0,0.0,79.0,0.0,558,2104,3672
3668,5.0,1.0,0.0,3.0,0.0,558,2352,3672
3668,1.0,10.0,0.0,0.0,0.0,558,2447,3672
3668,101.0,50.0,22.0,819.0,19.0,558,2585,3672
3668,330.0,345.0,2.0,2224.0,4.0,558,2644,3672
3668,53.0,39.0,1.0,283.0,0.0,558,2763,3672
3668,1.0,0.0,0.0,0.0,0.0,558,3269,3672
3668,21.0,21.0,20.0,3.0,0.0,558,3290,3672
3668,127.0,67.0,2.0,609.0,1.0,558,3351,3672
3668,1.0,0.0,0.0,0.0,0.0,558,3525,3672
3668,177.0,91.0,8.0,814.0,2.0,558,3553,3672
3668,2.0,73.0,0.0,0.0,0.0,574,98,3672
3668,1.0,3.0,0.0,3.0,0.0,574,3350,3672
3668,2.0,0.0,0.0,0.0,0.0,599,1326,3672
3668,3.0,1.0,0.0,0.0,0.0,599,1327,3672
3668,2.0,0.0,0.0,0.0,0.0,599,2585,3672
3668,3.0,0.0,0.0,51.0,0.0,599,2644,3672
3668,1.0,0.0,0.0,0.0,0.0,599,2763,3672
3668,1.0,13.0,0.0,161.0,0.0,599,3351,3672
3668,14.0,0.0,0.0,26.0,0.0,601,98,3672
3668,37.0,14.0,0.0,16.0,0.0,601,725,3672
3668,3.0,0.0,0.0,3.0,0.0,601,1089,3672
3668,28.0,5.0,0.0,23.0,0.0,601,1326,3672
3668,15.0,2.0,0.0,2.0,0.0,601,1327,3672
3668,6.0,1.0,0.0,18.0,0.0,601,2104,3672
3668,6.0,1.0,0.0,2.0,0.0,601,2352,3672
3668,6.0,0.0,0.0,0.0,0.0,601,2585,3672
3668,11.0,10.0,0.0,45.0,0.0,601,2644,3672
3668,9.0,6.0,0.0,103.0,0.0,601,2763,3672
3668,1.0,0.0,0.0,0.0,0.0,601,3269,3672
3668,1.0,1.0,0.0,0.0,0.0,601,3290,3672
3668,1.0,0.0,0.0,0.0,0.0,601,3350,3672
3668,2.0,0.0,0.0,0.0,0.0,601,3525,3672
3668,1.0,0.0,0.0,0.0,0.0,603,725,3672
3668,2.0,1.0,1.0,0.0,0.0,603,1326,3672
3668,3.0,0.0,0.0,0.0,0.0,603,1327,3672
3668,1.0,0.0,0.0,0.0,0.0,603,2644,3672
3668,1.0,0.0,0.0,3.0,0.0,607,725,3672
3668,1.0,0.0,0.0,1.0,0.0,607,1326,3672
3668,5.0,0.0,0.0,0.0,0.0,607,1327,3672
3668,1.0,4.0,0.0,0.0,0.0,622,725,3672
3668,1.0,4.0,0.0,2.0,0.0,622,1327,3672
3668,2.0,0.0,0.0,2.0,0.0,622,2644,3672
3668,1.0,1.0,0.0,0.0,0.0,622,3525,3672
3668,5.0,0.0,0.0,0.0,0.0,680,98,3672
3668,37.0,5.0,0.0,17.0,0.0,680,725,3672
3668,10.0,0.0,0.0,0.0,0.0,680,1089,3672
3668,1.0,0.0,0.0,0.0,0.0,680,1206,3672
3668,23.0,0.0,0.0,12.0,0.0,680,1326,3672
3668,73.0,5.0,0.0,63.0,0.0,680,1327,3672
3668,30.0,0.0,0.0,4.0,0.0,680,1713,3672
3668,13.0,6.0,0.0,4.0,0.0,680,2104,3672
3668,2.0,0.0,0.0,0.0,0.0,680,2352,3672
3668,6.0,6.0,0.0,25.0,0.0,680,2585,3672
3668,51.0,2.0,0.0,5.0,0.0,680,2644,3672
3668,10.0,3.0,0.0,0.0,0.0,680,2763,3672
3668,6.0,0.0,0.0,0.0,0.0,680,3269,3672
3668,8.0,0.0,0.0,6.0,0.0,680,3351,3672
3668,24.0,9.0,0.0,0.0,0.0,680,3525,3672
3668,5.0,0.0,0.0,0.0,0.0,680,3553,3672
3668,5.0,5.0,0.0,10.0,0.0,687,725,3672
3668,2.0,0.0,0.0,0.0,0.0,687,1089,3672
3668,28.0,8.0,0.0,10.0,1.0,687,1326,3672
3668,14.0,2.0,0.0,8.0,0.0,687,1327,3672
3668,8.0,3.0,0.0,2.0,0.0,687,1713,3672
3668,10.0,2.0,0.0,7.0,0.0,687,2104,3672
3668,4.0,0.0,0.0,1.0,0.0,687,2352,3672
3668,11.0,5.0,1.0,47.0,0.0,687,2585,3672
3668,36.0,21.0,0.0,27.0,0.0,687,2644,3672
3668,22.0,2.0,0.0,25.0,0.0,687,2763,3672
3668,1.0,0.0,0.0,0.0,0.0,687,3269,3672
3668,1.0,0.0,0.0,0.0,0.0,687,3290,3672
3668,7.0,30.0,0.0,11.0,0.0,687,3351,3672
3668,2.0,0.0,0.0,0.0,0.0,687,3525,3672
3668,2.0,0.0,0.0,0.0,0.0,691,725,3672
3668,1.0,0.0,0.0,0.0,0.0,691,2585,3672
3668,6.0,11.0,0.0,10.0,0.0,691,2644,3672
3668,6.0,1.0,0.0,15.0,0.0,695,98,3672
3668,60.0,29.0,0.0,8.0,0.0,695,725,3672
3668,1.0,0.0,0.0,0.0,0.0,695,1089,3672
3668,20.0,4.0,0.0,2.0,0.0,695,1326,3672
3668,39.0,14.0,0.0,47.0,0.0,695,1327,3672
3668,30.0,11.0,0.0,3.0,0.0,695,1713,3672
3668,9.0,10.0,0.0,12.0,0.0,695,2104,3672
3668,8.0,0.0,0.0,5.0,0.0,695,2352,3672
3668,9.0,8.0,0.0,4.0,0.0,695,2585,3672
3668,46.0,64.0,0.0,23.0,0.0,695,2644,3672
3668,9.0,1.0,0.0,13.0,0.0,695,2763,3672
3668,1.0,0.0,0.0,0.0,0.0,695,3269,3672
3668,1.0,1.0,0.0,0.0,0.0,695,3350,3672
3668,11.0,0.0,0.0,25.0,0.0,695,3351,3672
3668,2.0,1.0,0.0,1.0,0.0,695,3553,3672
3668,1.0,0.0,0.0,1.0,0.0,713,725,3672
3668,3.0,0.0,0.0,1.0,0.0,718,98,3672
3668,9.0,10.0,0.0,0.0,0.0,718,725,3672
3668,1.0,0.0,0.0,0.0,0.0,718,1089,3672
3668,6.0,2.0,0.0,2.0,0.0,718,1326,3672
3668,14.0,2.0,0.0,1.0,0.0,718,1327,3672
3668,4.0,0.0,0.0,1.0,0.0,718,1713,3672
3668,3.0,3.0,0.0,0.0,0.0,718,2585,3672
3668,5.0,4.0,0.0,0.0,0.0,718,2644,3672
3668,2.0,0.0,0.0,0.0,0.0,718,2763,3672
3668,1.0,7.0,1.0,30.0,0.0,718,3350,3672
3668,2.0,0.0,0.0,0.0,0.0,718,3351,3672
3668,4.0,3.0,1.0,2.0,0.0,720,1327,3672
3668,1.0,0.0,0.0,1.0,0.0,720,1713,3672
3668,3.0,5.0,1.0,7.0,0.0,720,2585,3672
3668,1.0,0.0,0.0,2.0,0.0,724,98,3672
3668,31.0,137.0,1.0,177.0,0.0,724,725,3672
3668,47.0,18.0,1.0,85.0,0.0,724,1089,3672
3668,7.0,11.0,0.0,13.0,0.0,724,1326,3672
3668,41.0,49.0,1.0,23.0,0.0,724,1327,3672
3668,4.0,6.0,0.0,1.0,0.0,724,1713,3672
3668,2.0,4.0,0.0,0.0,0.0,724,2032,3672
3668,52.0,614.0,321.0,145.0,0.0,724,2104,3672
3668,17.0,13.0,0.0,18.0,0.0,724,2352,3672
3668,24.0,308.0,6.0,192.0,0.0,724,2447,3672
3668,42.0,86.0,23.0,58.0,2.0,724,2585,3672
3668,160.0,1728.0,71.0,943.0,0.0,724,2644,3672
3668,10.0,96.0,0.0,8.0,0.0,724,2763,3672
3668,1.0,8.0,0.0,19.0,0.0,724,3350,3672
3668,21.0,126.0,1.0,102.0,0.0,724,3351,3672
3668,3.0,8.0,0.0,0.0,0.0,724,3525,3672
3668,7.0,8.0,0.0,3.0,0.0,724,3553,3672
3668,1.0,1.0,0.0,0.0,0.0,730,98,3672
3668,16.0,41.0,0.0,85.0,0.0,730,725,3672
3668,29.0,3.0,0.0,26.0,0.0,730,1326,3672
3668,23.0,87.0,0.0,182.0,0.0,730,1327,3672
3668,17.0,8.0,0.0,14.0,0.0,730,1713,3672
3668,2.0,47.0,0.0,9.0,0.0,730,2032,3672
3668,16.0,20.0,0.0,48.0,0.0,730,2104,3672
3668,3.0,6.0,0.0,0.0,0.0,730,2352,3672
3668,3.0,2.0,0.0,0.0,0.0,730,2585,3672
3668,44.0,180.0,0.0,166.0,0.0,730,2644,3672
3668,1.0,23.0,0.0,0.0,0.0,730,2763,3672
3668,1.0,4.0,0.0,9.0,0.0,730,3269,3672
3668,2.0,0.0,0.0,1.0,0.0,730,3290,3672
3668,4.0,3.0,0.0,6.0,0.0,730,3350,3672
3668,21.0,46.0,0.0,18.0,0.0,730,3351,3672
3668,9.0,22.0,0.0,133.0,0.0,730,3553,3672
3668,8.0,37.0,4.0,103.0,0.0,735,725,3672
3668,1.0,0.0,0.0,0.0,0.0,735,1089,3672
3668,1.0,5.0,1.0,0.0,0.0,735,1206,3672
3668,3.0,0.0,0.0,2.0,0.0,735,1326,3672
3668,8.0,24.0,1.0,0.0,0.0,735,1327,3672
3668,1.0,0.0,0.0,0.0,0.0,735,1713,3672
3668,2.0,0.0,0.0,2.0,0.0,735,2032,3672
3668,28.0,837.0,743.0,116.0,0.0,735,2104,3672
3668,2.0,5.0,2.0,20.0,0.0,735,2447,3672
3668,12.0,25.0,11.0,39.0,0.0,735,2585,3672
3668,93.0,674.0,281.0,201.0,0.0,735,2644,3672
3668,9.0,149.0,52.0,0.0,0.0,735,2763,3672
3668,1.0,0.0,0.0,0.0,0.0,735,3350,3672
3668,4.0,35.0,0.0,6.0,0.0,735,3351,3672
3668,5.0,0.0,0.0,4.0,0.0,737,34,3672
3668,1.0,329.0,0.0,0.0,0.0,737,98,3672
3668,8.0,0.0,0.0,16.0,0.0,737,725,3672
3668,2.0,0.0,0.0,27.0,0.0,737,1089,3672
3668,1.0,0.0,0.0,0.0,0.0,737,1206,3672
3668,13.0,3.0,0.0,4.0,0.0,737,1326,3672
3668,8.0,2.0,0.0,9.0,0.0,737,1327,3672
3668,2.0,1.0,0.0,2.0,0.0,737,1713,3672
3668,3.0,4.0,2.0,4.0,0.0,737,2104,3672
3668,1.0,0.0,0.0,1.0,0.0,737,2352,3672
3668,2.0,3.0,0.0,2.0,0.0,737,2585,3672
3668,12.0,1.0,0.0,4.0,0.0,737,2644,3672
3668,4.0,0.0,0.0,0.0,0.0,737,2763,3672
3668,2.0,0.0,0.0,0.0,0.0,737,3351,3672
3668,9.0,0.0,0.0,0.0,0.0,737,3525,3672
3668,5.0,6.0,0.0,8.0,0.0,758,725,3672
3668,37.0,101.0,27.0,114.0,0.0,758,1326,3672
3668,15.0,8.0,1.0,7.0,0.0,758,1327,3672
3668,3.0,2.0,0.0,1.0,0.0,758,1713,3672
3668,15.0,124.0,75.0,50.0,30.0,758,2104,3672
3668,7.0,21.0,0.0,13.0,0.0,758,2352,3672
3668,3.0,16.0,5.0,34.0,2.0,758,2447,3672
3668,6.0,5.0,0.0,10.0,0.0,758,2585,3672
3668,83.0,591.0,29.0,198.0,0.0,758,2644,3672
3668,10.0,155.0,0.0,56.0,0.0,758,2763,3672
3668,2.0,59.0,0.0,34.0,0.0,758,3290,3672
3668,2.0,42.0,0.0,0.0,0.0,758,3351,3672
3668,1.0,3.0,0.0,1.0,0.0,758,3553,3672
3668,2.0,0.0,0.0,25.0,0.0,764,98,3672
3668,2.0,0.0,0.0,0.0,0.0,764,725,3672
3668,4.0,2.0,0.0,1.0,0.0,764,1326,3672
3668,6.0,164.0,0.0,1003.0,0.0,764,1327,3672
3668,12.0,271.0,71.0,101.0,0.0,764,2104,3672
3668,3.0,1.0,0.0,0.0,0.0,764,2352,3672
3668,4.0,38.0,2.0,13.0,0.0,764,2447,3672
3668,5.0,51.0,6.0,110.0,5.0,764,2585,3672
3668,29.0,274.0,26.0,343.0,1.0,764,2644,3672
3668,1.0,0.0,0.0,1.0,0.0,764,3290,3672
3668,5.0,0.0,0.0,1.0,0.0,777,98,3672
3668,486.0,30.0,2.0,133.0,2.0,777,725,3672
3668,50.0,1.0,0.0,23.0,0.0,777,1089,3672
3668,9.0,0.0,0.0,3.0,0.0,777,1206,3672
3668,41.0,2.0,0.0,4.0,0.0,777,1326,3672
3668,247.0,28.0,0.0,114.0,1.0,777,1327,3672
3668,81.0,6.0,0.0,13.0,0.0,777,1713,3672
3668,2.0,0.0,0.0,0.0,0.0,777,2032,3672
3668,65.0,13.0,0.0,36.0,0.0,777,2104,3672
3668,4.0,0.0,0.0,0.0,0.0,777,2352,3672
3668,221.0,111.0,2.0,207.0,3.0,777,2585,3672
3668,217.0,14.0,2.0,110.0,1.0,777,2644,3672
3668,136.0,3.0,0.0,14.0,0.0,777,2763,3672
3668,19.0,0.0,0.0,1.0,0.0,777,3269,3672
3668,2.0,0.0,0.0,0.0,0.0,777,3350,3672
3668,241.0,11.0,0.0,58.0,1.0,777,3351,3672
3668,445.0,7.0,2.0,25.0,0.0,777,3525,3672
3668,17.0,0.0,0.0,3.0,0.0,777,3553,3672
3668,13.0,0.0,0.0,15.0,0.0,780,98,3672
3668,32.0,151.0,25.0,355.0,3.0,780,725,3672
3668,3.0,0.0,0.0,159.0,0.0,780,1089,3672
3668,3.0,1.0,0.0,0.0,0.0,780,1326,3672
3668,18.0,87.0,34.0,31.0,1.0,780,1327,3672
3668,2.0,0.0,0.0,1.0,0.0,780,1713,3672
3668,2.0,12.0,7.0,4.0,0.0,780,2104,3672
3668,40.0,180.0,92.0,123.0,0.0,780,2585,3672
3668,41.0,378.0,72.0,561.0,0.0,780,2644,3672
3668,1.0,1.0,0.0,0.0,0.0,780,2763,3672
3668,2.0,3.0,1.0,0.0,0.0,780,3350,3672
3668,79.0,175.0,9.0,655.0,1.0,780,3351,3672
3668,1.0,0.0,0.0,0.0,0.0,780,3525,3672
3668,65.0,116.0,0.0,55.0,0.0,821,98,3672
3668,1275.0,921.0,56.0,1720.0,4.0,821,725,3672
3668,110.0,31.0,1.0,98.0,0.0,821,1089,3672
3668,15.0,3.0,0.0,0.0,0.0,821,1206,3672
3668,82.0,33.0,3.0,32.0,1.0,821,1326,3672
3668,1076.0,1062.0,48.0,891.0,0.0,821,1327,3672
3668,186.0,62.0,0.0,138.0,3.0,821,1713,3672
3668,10.0,17.0,0.0,17.0,0.0,821,2032,3672
3668,864.0,3610.0,153.0,1258.0,10.0,821,2104,3672
3668,22.0,11.0,0.0,22.0,0.0,821,2352,3672
3668,1059.0,2079.0,57.0,2736.0,9.0,821,2585,3672
3668,1433.0,4452.0,122.0,2248.0,8.0,821,2644,3672
3668,105.0,176.0,0.0,119.0,0.0,821,2763,3672
3668,51.0,8.0,1.0,34.0,0.0,821,3269,3672
3668,37.0,97.0,11.0,25.0,0.0,821,3290,3672
3668,16.0,20.0,0.0,22.0,0.0,821,3350,3672
3668,446.0,270.0,3.0,290.0,5.0,821,3351,3672
3668,655.0,145.0,19.0,164.0,2.0,821,3525,3672
3668,2.0,1.0,0.0,5.0,0.0,821,3553,3672
3668,4.0,0.0,0.0,2.0,0.0,911,1327,3672
3668,1.0,1.0,0.0,0.0,0.0,911,2585,3672
3668,5.0,0.0,0.0,3.0,0.0,950,98,3672
3668,9.0,7.0,4.0,11.0,1.0,950,725,3672
3668,2.0,0.0,0.0,0.0,0.0,950,1089,3672
3668,17.0,0.0,0.0,3.0,0.0,950,1326,3672
3668,11.0,1.0,0.0,7.0,0.0,950,1327,3672
3668,8.0,1.0,0.0,1.0,1.0,950,1713,3672
3668,1.0,0.0,0.0,0.0,0.0,950,2032,3672
3668,3.0,3.0,0.0,4.0,0.0,950,2104,3672
3668,4.0,4.0,0.0,1.0,0.0,950,2585,3672
3668,2.0,0.0,0.0,6.0,0.0,950,2644,3672
3668,1.0,0.0,0.0,2.0,0.0,950,3290,3672
3668,1.0,1.0,0.0,0.0,0.0,950,3350,3672
3668,2.0,0.0,0.0,0.0,0.0,950,3525,3672
3668,5.0,1.0,0.0,4.0,0.0,961,725,3672
3668,2.0,41.0,0.0,0.0,0.0,961,1089,3672
3668,6.0,1.0,0.0,6.0,0.0,961,1326,3672
3668,4.0,2.0,0.0,13.0,0.0,961,1327,3672
3668,4.0,1.0,0.0,4.0,0.0,961,2104,3672
3668,14.0,199.0,0.0,33.0,0.0,961,2585,3672
3668,12.0,3.0,0.0,12.0,0.0,961,2644,3672
3668,6.0,0.0,0.0,0.0,0.0,961,2763,3672
3668,3.0,0.0,0.0,1.0,1.0,961,3351,3672
3668,4.0,1.0,0.0,0.0,0.0,969,98,3672
3668,13.0,2.0,0.0,6.0,0.0,969,725,3672
3668,3.0,0.0,0.0,0.0,0.0,969,1326,3672
3668,6.0,2.0,0.0,2.0,0.0,969,2032,3672
3668,1.0,3.0,0.0,1.0,0.0,969,2585,3672
3668,1.0,0.0,0.0,1.0,0.0,969,2644,3672
3668,1.0,0.0,0.0,0.0,0.0,969,3351,3672
3668,11.0,5.0,4.0,4.0,0.0,978,98,3672
3668,23.0,2.0,0.0,5.0,0.0,978,725,3672
3668,1.0,0.0,0.0,0.0,0.0,978,1089,3672
3668,11.0,4.0,0.0,16.0,0.0,978,1326,3672
3668,20.0,1.0,0.0,4.0,0.0,978,1327,3672
3668,9.0,18.0,0.0,2.0,0.0,978,1713,3672
3668,1.0,1.0,0.0,0.0,0.0,978,2032,3672
3668,8.0,4.0,3.0,4.0,0.0,978,2104,3672
3668,9.0,2.0,0.0,2.0,0.0,978,2585,3672
3668,22.0,2.0,0.0,3.0,0.0,978,2644,3672
