lon,lat,k,type
50.5248911281,24.4830426222,2,3514
-77.9623846942,3.16518619747,2,3514
28.196976071,24.4929969124,3,3514
-78.3912934297,3.08447884417,3,3514
83.4685397465,24.4129608295,3,3514
-78.3912934297,3.08447884417,4,3514
33.157370479,3.18620234604,4,3514
24.9513173844,38.3984912281,4,3514
83.4601612439,24.4129772531,4,3514
75.1051602896,27.5942537056,5,3514
-78.3912934297,3.08447884417,5,3514
33.1484156479,3.17538875306,5,3514
24.6957391304,38.4344380032,5,3514
122.007711443,9.62019900498,5,3514
-78.3912934297,3.08447884417,6,3514
39.4942415885,36.324015444,6,3514
75.3908780488,27.5129303136,6,3514
4.76989810771,40.0666157205,6,3514
34.0769088176,3.03203907816,6,3514
122.08530782,9.58981697171,6,3514
48.9144736191,29.9528850436,2,1137
-78.2833666998,-0.495720944447,2,1137
30.2723516799,32.4707587165,3,1137
-78.4156363915,-0.5407244601,3,1137
81.1782366619,25.5715354697,3,1137
-78.4156363915,-0.5407244601,4,1137
40.1964258108,29.2640551168,4,1137
81.2173094189,25.5532661359,4,1137
4.31689143866,40.9047458076,4,1137
113.674850798,9.12704371964,5,1137
5.3868078366,40.7281242184,5,1137
-78.4156363915,-0.5407244601,5,1137
40.5525581635,29.0570859719,5,1137
73.9187429488,29.2549655851,5,1137
40.5918049235,34.2107038419,6,1137
-78.4156363915,-0.5407244601,6,1137
113.674850798,9.12704371964,6,1137
2.77404235633,44.6679376992,6,1137
73.9237021122,29.2437740733,6,1137
28.330486618,-4.07796947578,6,1137
45.2133297283,30.525765851,2,1482
-83.6452314607,12.2914382022,2,1482
-83.670602518,12.2795548561,3,1482
92.9269876977,20.3925448155,3,1482
15.382934329,36.8594377334,3,1482
93.0607762879,20.3340508116,4,1482
3.74987261147,48.3730971338,4,1482
-83.670602518,12.2795548561,4,1482
29.8547076023,22.7572563353,4,1482
78.9666226216,25.0562579281,5,1482
-83.670602518,12.2795548561,5,1482
7.90384664742,46.5656817453,5,1482
31.5687020237,15.683042568,5,1482
120.435868201,11.3099790795,5,1482
78.9965185185,25.0242433862,6,1482
-93.6469165247,30.7613117547,6,1482
3.74987261147,48.3730971338,6,1482
29.6843088235,22.6551127451,6,1482
120.435868201,11.3099790795,6,1482
-72.5161333333,-8.38480952381,6,1482
53.2638264742,25.601371397,2,1198
-80.181775977,5.50432008103,2,1198
26.3358929695,28.0157420042,3,1198
-80.7934125767,5.42299505794,3,1198
84.8125853546,22.6599908035,3,1198
10.7198576786,26.4090075969,4,1198
54.9592426042,30.4446455677,4,1198
-80.7934125767,5.42299505794,4,1198
101.708074003,13.1288718814,4,1198
-80.7934125767,5.42299505794,5,1198
35.4530240775,22.4133492541,5,1198
74.0388184282,27.4853550136,5,1198
0.410364379996,43.9032180703,5,1198
115.794640071,8.8133407622,5,1198
74.0517658453,27.47623276,6,1198
-80.7934125767,5.42299505794,6,1198
0.21125488663,45.0568725567,6,1198
115.794640071,8.8133407622,6,1198
24.9104153846,0.339301923077,6,1198
39.9725453843,33.4888769795,6,1198
-30.2366666667,29.724,2,773
81.579296875,23.448046875,2,773
139.553823529,4.19264705882,3,773
44.7281481481,35.0217777778,3,773
-76.7273529412,10.5929411765,3,773
16.1747457627,39.5774576271,4,773
-76.7273529412,10.5929411765,4,773
66.8946052632,31.4851315789,4,773
139.553823529,4.19264705882,4,773
16.1747457627,39.5774576271,5,773
66.8946052632,31.4851315789,5,773
-76.7273529412,10.5929411765,5,773
126.053478261,24.9556521739,5,773
167.781818182,-39.2209090909,5,773
68.2451388889,33.2170833333,6,773
-76.7273529412,10.5929411765,6,773
9.507,49.23775,6,773
126.053478261,24.9556521739,6,773
32.3639130435,15.947826087,6,773
167.781818182,-39.2209090909,6,773
-83.1366666667,17.4022222222,2,1147
46.9081818182,35.4195454545,2,1147
26.9888235294,38.6941176471,3,1147
-83.1366666667,17.4022222222,3,1147
114.634,24.286,3,1147
-95.6366666667,37.25,4,1147
26.9888235294,38.6941176471,4,1147
114.634,24.286,4,1147
-58.1366666667,-22.2933333333,4,1147
40.437,36.086,5,1147
-95.6366666667,37.25,5,1147
114.634,24.286,5,1147
-58.1366666667,-22.2933333333,5,1147
7.77714285714,42.42,5,1147
74.745,27.175,6,1147
-95.6366666667,37.25,6,1147
7.77714285714,42.42,6,1147
-58.1366666667,-22.2933333333,6,1147
123.225,27.0875,6,1147
37.2388888889,35.51,6,1147
59.3438943731,23.1888302073,2,2077
-17.1485379464,29.8809375,2,2077
85.046653185,23.3273407482,3,2077
23.0263368669,29.0650647821,3,2077
-78.0605106383,5.66242553191,3,2077
33.4866333938,21.9083030853,4,2077
-78.0605106383,5.66242553191,4,2077
4.12302828619,42.128718802,4,2077
85.1927337398,23.3342581301,4,2077
85.2177517803,23.3001831129,5,2077
3.67932642487,42.4765630397,5,2077
-78.0605106383,5.66242553191,5,2077
27.5138176638,-2.70720797721,5,2077
35.7275581395,33.4308010336,5,2077
119.675029586,12.445147929,6,2077
3.67932642487,42.4765630397,6,2077
-78.0605106383,5.66242553191,6,2077
27.5138176638,-2.70720797721,6,2077
78.0380981595,25.5596687117,6,2077
35.6999353169,33.4348771022,6,2077
-100.544666667,23.4796666667,2,2930
73.1564705882,21.4749411765,2,2930
94.0575409836,18.4762295082,3,2930
-100.544666667,23.4796666667,3,2930
20.0329166667,29.0966666667,3,2930
94.0575409836,18.4762295082,4,2930
-80.0769230769,5.35923076923,4,2930
-116.196470588,37.3364705882,4,2930
20.0329166667,29.0966666667,4,2930
32.95,12.2776923077,5,2930
-116.196470588,37.3364705882,5,2930
94.0575409836,18.4762295082,5,2930
-80.0769230769,5.35923076923,5,2930
4.76727272727,48.9736363636,5,2930
90.3051785714,17.2064285714,6,2930
-116.196470588,37.3364705882,6,2930
4.76727272727,48.9736363636,6,2930
-80.0769230769,5.35923076923,6,2930
32.95,12.2776923077,6,2930
136.084,32.698,6,2930
45.8051190476,31.8776190476,2,3536
-84.896,22.3085,2,3536
88.8713043478,28.9104347826,3,3536
-84.896,22.3085,3,3536
29.5670491803,32.9963934426,3,3536
-0.691111111111,52.9666666667,4,3536
-84.896,22.3085,4,3536
88.8713043478,28.9104347826,4,3536
34.8040384615,29.54,4,3536
-0.691111111111,52.9666666667,5,3536
76.0927777778,27.7344444444,5,3536
-84.896,22.3085,5,3536
34.8040384615,29.54,5,3536
134.874,33.144,5,3536
37.745,-22.55,6,3536
-84.896,22.3085,6,3536
34.6864,31.6236,6,3536
-0.691111111111,52.9666666667,6,3536
76.0927777778,27.7344444444,6,3536
134.874,33.144,6,3536
139.76,35.69,2,2711
-17.6,44.8933333333,2,2711
10.605,46.985,3,2711
139.76,35.69,3,2711
-74.01,40.71,3,2711
139.76,35.69,4,2711
-74.01,40.71,4,2711
16.37,48.21,4,2711
4.84,45.76,4,2711
139.76,35.69,5,2711
16.37,48.21,5,2711
-74.01,40.71,5,2711
4.84,45.76,5,2711
139.76,35.69,5,2711
139.76,35.69,6,2711
16.37,48.21,6,2711
-74.01,40.71,6,2711
4.84,45.76,6,2711
139.76,35.69,6,2711
139.76,35.69,6,2711
41.5582857143,27.8035714286,2,2447
-88.4059090909,25.9890909091,2,2447
98.5472222222,19.2027777778,3,2447
-88.4059090909,25.9890909091,3,2447
21.8313461538,30.7807692308,3,2447
114.308333333,14.9758333333,4,2447
43.2616666667,20.7183333333,4,2447
-88.4059090909,25.9890909091,4,2447
8.55464285714,40.8925,4,2447
8.55464285714,40.8925,5,2447
-93.808125,40.33875,5,2447
44.4422580645,20.2735483871,5,2447
117.44,15.7072727273,5,2447
-74.0,-12.2766666667,5,2447
5.00888888889,1.69777777778,6,2447
117.44,15.7072727273,6,2447
-93.808125,40.33875,6,2447
11.7852173913,47.2282608696,6,2447
-74.0,-12.2766666667,6,2447
48.1888888889,24.8866666667,6,2447
-86.538,36.8528,2,627
65.9825,22.25625,2,627
-86.538,36.8528,3,627
41.41,17.82,3,627
139.7,35.565,3,627
-75.8247368421,35.0178947368,4,627
41.41,17.82,4,627
139.7,35.565,4,627
-120.463333333,42.6633333333,4,627
41.41,17.82,5,627
-76.1127777778,38.8227777778,5,627
139.7,35.565,5,627
-70.64,-33.47,5,627
-120.463333333,42.6633333333,5,627
139.7,35.565,6,627
-76.1127777778,38.8227777778,6,627
50.134,11.12,6,627
-70.64,-33.47,6,627
-120.463333333,42.6633333333,6,627
-2.21,51.32,6,627
-78.8239871223,2.68334076275,2,486
44.1740986369,29.6384017461,2,486
83.7257441472,23.6758632943,3,486
-78.8655638166,2.66297149938,3,486
21.2894418267,33.0848326688,3,486
-78.8655638166,2.66297149938,4,486
36.9322944162,22.9482862944,4,486
-1.27173526799,47.7767959728,4,486
83.8747152763,23.6910989704,4,486
36.8808426623,22.9171768777,5,486
-78.8655638166,2.66297149938,5,486
119.653560606,11.1685795455,5,486
73.6208829071,27.2894051144,5,486
-1.27173526799,47.7767959728,5,486
38.8832433141,33.2189800734,6,486
-78.8655638166,2.66297149938,6,486
73.6358054957,27.2829418103,6,486
-1.59983168019,47.8457649534,6,486
29.5905815972,-10.27765625,6,486
119.653560606,11.1685795455,6,486
55.5489076742,24.7144854455,2,1451
-76.9054144241,5.18526910657,2,1451
29.57868202,24.3769006659,3,1451
-78.0581753425,5.06940821918,3,1451
83.8155400805,24.9570225936,3,1451
29.5641671294,24.3725485841,4,1451
-78.0581753425,5.06940821918,4,1451
75.6577569392,28.5248424606,4,1451
122.073844797,8.20694885362,4,1451
12.9629427255,19.2053719552,5,1451
75.6796244837,28.504757792,5,1451
-78.0581753425,5.06940821918,5,1451
41.6913518696,28.1668360499,5,1451
122.073844797,8.20694885362,5,1451
75.6796244837,28.504757792,6,1451
-78.0581753425,5.06940821918,6,1451
36.6866132075,6.3533490566,6,1451
7.11875593542,25.8509496676,6,1451
122.073844797,8.20694885362,6,1451
40.3988002681,36.1751876676,6,1451
-78.4338497295,-0.466735502553,2,683
48.8704381427,30.0422038917,2,683
30.0365377608,32.7102984424,3,683
-78.5386251908,-0.501655725191,3,683
81.3947664091,25.4140296652,3,683
-78.5386251908,-0.501655725191,4,683
40.1182329917,29.3066271705,4,683
81.4480536883,25.3916204425,4,683
4.23907875458,41.4794249084,4,683
40.4775023707,29.1171277993,5,683
-78.5386251908,-0.501655725191,5,683
113.593514354,9.16918660287,5,683
5.29693625119,41.2229625465,5,683
74.0653786556,29.1205510694,5,683
74.0688238826,29.1112683513,6,683
-78.5386251908,-0.501655725191,6,683
40.5486426604,34.1886363636,6,683
113.593514354,9.16918660287,6,683
28.3714938796,-5.12507869098,6,683
2.86753108348,44.6150047017,6,683
-85.2716812339,14.7813984576,2,1146
47.1195937732,30.448056338,2,1146
16.164186161,37.2955651317,3,1146
93.9112402235,20.0944394786,3,1146
-85.3015432099,14.7690843621,3,1146
49.6958407572,24.4176948775,4,1146
-85.3015432099,14.7690843621,4,1146
8.22378259397,43.9627192685,4,1146
102.281362043,15.8912218327,4,1146
30.7312397148,23.6857816786,5,1146
-85.3015432099,14.7690843621,5,1146
82.6185054081,22.7529105211,5,1146
4.21698434004,48.3373557047,5,1146
