category,nattacks,nkilled,nkilledter,nwounded,nwoundedter,subcategory,year
3672,39,28,4,79,0,1089,1999
3672,20,12,0,72,0,1089,2000
3672,47,37,2,135,0,1089,2001
3672,28,36,2,208,0,1089,2002
3672,25,9,2,83,0,1089,2003
3672,24,393,29,836,0,1089,2004
3672,57,85,1,93,2,1089,2005
3672,86,77,4,225,1,1089,2006
3672,120,204,11,459,5,1089,2007
3672,161,61,7,192,1,1089,2008
3672,217,193,26,513,1,1089,2009
3672,263,45,2,313,6,1089,2010
3672,219,57,2,132,2,1089,2011
3672,321,153,10,1252,6,1089,2012
3672,351,396,15,907,4,1089,2013
3672,344,512,23,806,0,1089,2014
3672,285,272,17,757,3,1089,2015
3672,2,0,0,0,0,1206,1970
3672,2,0,0,0,0,1206,1975
3672,1,1,0,0,0,1206,1977
3672,5,0,0,0,0,1206,1978
3672,1,0,0,0,0,1206,1979
3672,4,1,0,20,0,1206,1980
3672,9,0,0,0,0,1206,1981
3672,12,0,0,0,0,1206,1982
3672,6,0,0,0,0,1206,1983
3672,11,11,0,0,0,1206,1984
3672,17,1,1,0,0,1206,1985
3672,17,30,22,2,0,1206,1986
3672,4,0,0,0,0,1206,1987
3672,5,0,0,1,0,1206,1988
3672,10,5,0,3,0,1206,1989
3672,14,3,0,4,0,1206,1990
3672,7,70,0,19,0,1206,1991
3672,9,2,0,1,0,1206,1992
3672,3,0,0,0,0,1206,1994
3672,2,0,0,5,0,1206,1995
3672,4,22,0,3,0,1206,1996
3672,1,0,0,0,0,1206,1997
3672,2,0,0,0,0,1206,1998
3672,3,0,0,0,0,1206,1999
3672,2,0,0,0,0,1206,2000
3672,3,0,0,1,0,1206,2001
3672,1,0,0,0,0,1206,2002
3672,3,3,0,1,0,1206,2003
3672,5,39,0,22,0,1206,2005
3672,9,7,0,15,0,1206,2006
3672,1,0,0,0,0,1206,2007
3672,14,10,0,21,0,1206,2008
3672,7,2,0,8,0,1206,2009
3672,11,13,1,9,0,1206,2010
3672,10,2,0,18,0,1206,2011
3672,18,18,1,8,0,1206,2012
3672,6,0,0,0,0,1206,2013
3672,21,16,0,35,0,1206,2014
3672,16,16,9,14,0,1206,2015
3672,53,7,2,2,0,1326,1970
3672,35,4,0,16,0,1326,1971
3672,28,7,2,5,0,1326,1972
3672,57,9,0,33,0,1326,1973
3672,58,4,2,42,0,1326,1974
3672,70,13,1,42,0,1326,1975
3672,107,21,0,25,0,1326,1976
3672,60,2,0,11,0,1326,1977
3672,59,13,0,8,0,1326,1978
3672,88,12,0,45,0,1326,1979
3672,127,63,3,87,2,1326,1980
3672,119,89,0,151,2,1326,1981
3672,107,47,1,135,2,1326,1982
3672,84,80,5,181,1,1326,1983
3672,93,40,1,99,0,1326,1984
3672,62,12,2,19,0,1326,1985
3672,75,37,2,27,0,1326,1986
3672,46,6,0,38,0,1326,1987
3672,58,14,0,21,0,1326,1988
3672,69,18,1,17,1,1326,1989
3672,57,7,0,21,0,1326,1990
3672,151,12,1,36,1,1326,1991
3672,186,59,1,357,0,1326,1992
3672,112,73,0,131,0,1326,1994
3672,58,26,0,87,0,1326,1995
3672,60,14,0,22,0,1326,1996
3672,51,32,0,24,0,1326,1997
3672,22,259,2,4092,0,1326,1998
3672,48,25,3,75,17,1326,1999
3672,50,32,1,38,0,1326,2000
3672,29,3,2,4,0,1326,2001
3672,25,29,2,92,0,1326,2002
