district,prostitution,vehicleTheft,total
SOUTHERN,15,452,29240
MISSION,469,812,21156
NORTHERN,115,760,18112
BAYVIEW,10,836,14788
CENTRAL,37,441,14783
INGLESIDE,6,1286,13196
TENDERLOIN,35,116,12888
TARAVAL,3,643,10709
PARK,1,377,9456
RICHMOND,1,518,8478
