category,district,count
Larceny/Theft,TENDERLOIN,22996
Liquor Laws,BAYVIEW,271
Liquor Laws,CENTRAL,268
Liquor Laws,INGLESIDE,218
Liquor Laws,MISSION,1029
Liquor Laws,NORTHERN,263
Liquor Laws,PARK,280
Liquor Laws,RICHMOND,186
Liquor Laws,SOUTHERN,803
Liquor Laws,TARAVAL,263
Liquor Laws,TENDERLOIN,421
Loitering,BAYVIEW,97
Loitering,CENTRAL,153
Loitering,INGLESIDE,50
Loitering,MISSION,382
Loitering,NORTHERN,405
Loitering,PARK,38
Loitering,RICHMOND,25
Loitering,SOUTHERN,810
Loitering,TARAVAL,70
Loitering,TENDERLOIN,353
Missing Person,BAYVIEW,10855
Missing Person,CENTRAL,3237
Missing Person,INGLESIDE,7299
Missing Person,MISSION,7574
Missing Person,NORTHERN,4532
Missing Person,PARK,6483
Missing Person,RICHMOND,2768
Missing Person,SOUTHERN,7338
Missing Person,TARAVAL,7539
Missing Person,TENDERLOIN,2050
Non-Criminal,BAYVIEW,14684
Non-Criminal,CENTRAL,25898
Non-Criminal,INGLESIDE,16180
Non-Criminal,MISSION,29196
Non-Criminal,NORTHERN,24184
Non-Criminal,PARK,14150
Non-Criminal,RICHMOND,13649
Non-Criminal,SOUTHERN,45694
Non-Criminal,TARAVAL,16713
Non-Criminal,TENDERLOIN,17324
Other Offenses,BAYVIEW,38278
Other Offenses,CENTRAL,21041
Other Offenses,INGLESIDE,30344
Other Offenses,MISSION,43838
Other Offenses,NORTHERN,28593
Other Offenses,PARK,14774
Other Offenses,RICHMOND,13001
Other Offenses,SOUTHERN,48082
Other Offenses,TARAVAL,20394
Other Offenses,TENDERLOIN,29378
Pornography/Obscene Mat,BAYVIEW,5
Pornography/Obscene Mat,CENTRAL,5
Pornography/Obscene Mat,INGLESIDE,6
Pornography/Obscene Mat,MISSION,6
Pornography/Obscene Mat,NORTHERN,7
Pornography/Obscene Mat,PARK,2
Pornography/Obscene Mat,RICHMOND,4
Pornography/Obscene Mat,SOUTHERN,5
Pornography/Obscene Mat,TARAVAL,6
Pornography/Obscene Mat,TENDERLOIN,5
Prostitution,BAYVIEW,135
Prostitution,CENTRAL,1764
Prostitution,INGLESIDE,68
Prostitution,MISSION,7173
Prostitution,NORTHERN,3960
Prostitution,PARK,16
Prostitution,RICHMOND,57
Prostitution,SOUTHERN,642
Prostitution,TARAVAL,366
Prostitution,TENDERLOIN,1989
Recovered Vehicle,BAYVIEW,1850
Recovered Vehicle,CENTRAL,507
Recovered Vehicle,INGLESIDE,1565
Recovered Vehicle,MISSION,809
Recovered Vehicle,NORTHERN,719
Recovered Vehicle,PARK,312
Recovered Vehicle,RICHMOND,343
Recovered Vehicle,SOUTHERN,911
Recovered Vehicle,TARAVAL,677
Recovered Vehicle,TENDERLOIN,396
Robbery,BAYVIEW,5977
Robbery,CENTRAL,4760
Robbery,INGLESIDE,6075
Robbery,MISSION,8146
Robbery,NORTHERN,6013
Robbery,PARK,2105
Robbery,RICHMOND,1763
Robbery,SOUTHERN,8867
Robbery,TARAVAL,3176
Robbery,TENDERLOIN,4990
Runaway,BAYVIEW,544
Runaway,CENTRAL,84
Runaway,INGLESIDE,333
Runaway,MISSION,568
Runaway,NORTHERN,199
Runaway,PARK,1079
Runaway,RICHMOND,206
Runaway,SOUTHERN,238
Runaway,TARAVAL,854
Runaway,TENDERLOIN,18
Secondary Codes,BAYVIEW,3827
Secondary Codes,CENTRAL,1718
Secondary Codes,INGLESIDE,3104
Secondary Codes,MISSION,3190
Secondary Codes,NORTHERN,2331
Secondary Codes,PARK,1050
Secondary Codes,RICHMOND,1229
Secondary Codes,SOUTHERN,2798
Secondary Codes,TARAVAL,2464
Secondary Codes,TENDERLOIN,1650
"Sex Offenses, Forcible",BAYVIEW,978
"Sex Offenses, Forcible",CENTRAL,930
"Sex Offenses, Forcible",INGLESIDE,1219
"Sex Offenses, Forcible",MISSION,1726
"Sex Offenses, Forcible",NORTHERN,1085
"Sex Offenses, Forcible",PARK,488
"Sex Offenses, Forcible",RICHMOND,491
"Sex Offenses, Forcible",SOUTHERN,1967
"Sex Offenses, Forcible",TARAVAL,873
"Sex Offenses, Forcible",TENDERLOIN,698
"Sex Offenses, Non Forcible",BAYVIEW,55
"Sex Offenses, Non Forcible",CENTRAL,11
"Sex Offenses, Non Forcible",INGLESIDE,66
"Sex Offenses, Non Forcible",MISSION,59
"Sex Offenses, Non Forcible",NORTHERN,28
"Sex Offenses, Non Forcible",PARK,17
"Sex Offenses, Non Forcible",RICHMOND,20
"Sex Offenses, Non Forcible",SOUTHERN,63
"Sex Offenses, Non Forcible",TARAVAL,50
"Sex Offenses, Non Forcible",TENDERLOIN,11
Stolen Property,BAYVIEW,899
Stolen Property,CENTRAL,1282
Stolen Property,INGLESIDE,835
Stolen Property,MISSION,1476
Stolen Property,NORTHERN,1651
Stolen Property,PARK,451
Stolen Property,RICHMOND,488
Stolen Property,SOUTHERN,2453
Stolen Property,TARAVAL,594
Stolen Property,TENDERLOIN,799
Suicide,BAYVIEW,75
Suicide,CENTRAL,136
Suicide,INGLESIDE,152
Suicide,MISSION,163
Suicide,NORTHERN,174
Suicide,PARK,60
Suicide,RICHMOND,83
Suicide,SOUTHERN,146
Suicide,TARAVAL,135
Suicide,TENDERLOIN,76
Suspicious Occ,BAYVIEW,8952
Suspicious Occ,CENTRAL,6784
Suspicious Occ,INGLESIDE,7254
Suspicious Occ,MISSION,9276
Suspicious Occ,NORTHERN,7725
Suspicious Occ,PARK,3803
Suspicious Occ,RICHMOND,4944
Suspicious Occ,SOUTHERN,11689
Suspicious Occ,TARAVAL,6946
Suspicious Occ,TENDERLOIN,5954
Trea,BAYVIEW,3
Trea,CENTRAL,2
Trea,INGLESIDE,1
Trea,MISSION,1
Trea,NORTHERN,1
Trea,SOUTHERN,2
Trea,TARAVAL,3
Trespass,BAYVIEW,1491
Trespass,CENTRAL,2183
Trespass,INGLESIDE,899
Trespass,MISSION,2620
Trespass,NORTHERN,1983
Trespass,PARK,753
Trespass,RICHMOND,565
Trespass,SOUTHERN,3539
Trespass,TARAVAL,969
Trespass,TENDERLOIN,2543
Vandalism,BAYVIEW,12782
Vandalism,CENTRAL,10945
Vandalism,INGLESIDE,12259
Vandalism,MISSION,12491
Vandalism,NORTHERN,12945
Vandalism,PARK,5985
Vandalism,RICHMOND,7201
Vandalism,SOUTHERN,15533
Vandalism,TARAVAL,10800
Vandalism,TENDERLOIN,3809
Vehicle Theft,BAYVIEW,15880
Vehicle Theft,CENTRAL,9445
Vehicle Theft,INGLESIDE,19821
Vehicle Theft,MISSION,16386
Vehicle Theft,NORTHERN,14050
Vehicle Theft,PARK,9018
Vehicle Theft,RICHMOND,9166
Vehicle Theft,SOUTHERN,10652
Vehicle Theft,TARAVAL,13476
Vehicle Theft,TENDERLOIN,2256
Warrants,BAYVIEW,9778
Warrants,CENTRAL,6580
Warrants,INGLESIDE,5750
Warrants,MISSION,15163
Warrants,NORTHERN,10314
Warrants,PARK,5230
Warrants,RICHMOND,2329
Warrants,SOUTHERN,20540
Warrants,TARAVAL,3767
Warrants,TENDERLOIN,15742
Weapon Laws,BAYVIEW,3955
Weapon Laws,CENTRAL,1161
Weapon Laws,INGLESIDE,2603
Weapon Laws,MISSION,3179
Weapon Laws,NORTHERN,1845
Weapon Laws,PARK,845
Weapon Laws,RICHMOND,714
Weapon Laws,SOUTHERN,2673
Weapon Laws,TARAVAL,1294
Weapon Laws,TENDERLOIN,1889
